Country,Culture,Language,Genre_Album,Year,SampleAudio,CatalogNumber,songurls_Album,Instrument,Distance,Outlier
Hungary,Hungarian-American,,World,,http://media.smithsonianfolkways.org/audio/samples/cook/COOK10326/COOK10326_07.mp3,COOK10326_107,http://www.folkways.si.edu/dick-marta/traditional-csardas-group/world/music/track/smithsonian,Cimbalom,64.7874160972,1
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71352/MON71352_08.mp3,MON71352_108,http://www.folkways.si.edu/armenian-song-dance-ensemble/gadagayan-bar-humourous-dance/world/music/track/smithsonian,Conductor,39.1717495111,1
Hungary,Hungarian-American,,World,,http://media.smithsonianfolkways.org/audio/samples/cook/COOK10326/COOK10326_06.mp3,COOK10326_106,http://www.folkways.si.edu/dick-marta/roumanian-rhapsody/world/music/track/smithsonian,Cimbalom,85.8604953827,1
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61452/MON61452_07.mp3,MON61452_107,http://www.folkways.si.edu/hachig-kazarian-ensemble/sonon-yelov/world/music/track/smithsonian,Piano,27.5832882571,0
Hungary,Romani,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00418/MON00418_08.mp3,MON00418_203,http://www.folkways.si.edu/rajko/repulj-fecskem-fly-my-swallow/world/music/track/smithsonian,nan,47.8524814099,1
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00352/MON00352_09.mp3,MON00352_109,http://www.folkways.si.edu/armenian-song-dance-ensemble/tkha-zaven-a-guy-named-zaven/world/music/track/smithsonian,Duduk,38.0228038002,0
Hungary,,,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04000/FW04000_01.mp3,FW04000_101,http://www.folkways.si.edu/come-on-girls-to-the-spinning-house/world/music/track/smithsonian,nan,25.1357559395,0
Hungary,Hungarian-American,,World,,http://media.smithsonianfolkways.org/audio/samples/cook/COOK10326/COOK10326_05.mp3,COOK10326_105,http://www.folkways.si.edu/dick-marta/brahms-hungarian-dance-8/world/music/track/smithsonian,Cimbalom,47.4942195427,1
Australia,Australian Aborigine,,World,1977.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04025/FW04025_05.mp3,FW04025_105,http://www.folkways.si.edu/madu-paul/death-dance-after-a-fight/world/music/track/smithsonian,nan,103.312470572,1
Hungary,,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06803/FW06803_08.mp3,FW06803_204,http://www.folkways.si.edu/suzy-sann/wedding-songs/world/music/track/smithsonian,Vocals,22.9935879467,0
Australia,Australian Aborigine,,World,1975.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04211/FW04211_22.mp3,FW04211_205,http://www.folkways.si.edu/billy-daniels/song/world/music/track/smithsonian,Drum,105.62240292,1
Australia,,English,World,1959.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08718/FW08718_17.mp3,FW08718_207,http://www.folkways.si.edu/john-greenway/stockmans-last-bed/world/music/track/smithsonian,Vocals,14.9943174524,0
Australia,Australian Aborigine|Nyangumarda,Nyangumarda,World,1964.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04102/FW04102_02.mp3,FW04102_102,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/song-with-didjeridu-2/world/music/track/smithsonian,Didjeridu,59.9234789997,1
Hungary,,,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04000/FW04000_14.mp3,FW04000_114,http://www.folkways.si.edu/hungarian-musicians/o-love-o-love/world/music/track/smithsonian,nan,36.1502178065,0
Australia,Australian Aborigine|Nyangumarda,Nyangumarda,World,1964.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04102/FW04102_03.mp3,FW04102_103,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/song-with-didjeridu-3/world/music/track/smithsonian,Didjeridu,65.1140413804,1
Hungary,Romani,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00418/MON00418_06.mp3,MON00418_201,http://www.folkways.si.edu/rajko/ritka-buza-wheat-and-barley/casino-csardas-casion-czardas-medley/world/music/track/smithsonian,nan,21.4175838361,0
Australia,Australian Aborigine,,World,1977.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04025/FW04025_22.mp3,FW04025_122,http://www.folkways.si.edu/kame-paipai-and-jimmie-luffman/kab-song/world/music/track/smithsonian,nan,74.662752359,1
